id,m2_construit,nb_pieces,nb_sdb,nb_etages,prix_achat,prix_achat_m2,type_maison,travaux_necessaire,annee_construction,ascenseur,jardin,piscine,terrace,balcon,salle_rangement,espace_vert,parking,num_quartier
21646,70,2,1,0,117000,1671,appartement,0,1975.0,1,0,0,0,0,0,0,0,21
21645,54,2,1,0,110000,2037,appartement,0,1960.0,1,0,0,0,1,0,0,0,21
21644,52,2,1,0,100000,1923,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21643,108,3,1,0,140000,1296,appartement,0,1995.0,1,0,0,1,0,0,0,0,21
21642,65,2,1,0,106500,1638,appartement,0,1963.0,1,0,0,1,0,0,0,0,21
21641,102,3,2,0,127500,1250,appartement,0,1964.0,1,0,0,1,0,0,0,0,21
21640,80,2,1,0,148000,1850,appartement,0,1999.0,1,0,0,1,0,1,1,1,21
21639,108,2,1,0,205000,1898,duplex,0,2002.0,1,0,1,1,0,1,0,1,21
21638,80,3,2,0,220000,2750,appartement,0,2000.0,1,0,1,0,0,0,1,1,21
21637,16,3,1,0,114000,7125,appartement,0,1970.0,1,0,0,0,0,0,0,0,21
21636,54,2,1,0,89900,1665,appartement,0,1964.0,1,0,0,1,0,0,0,0,21
21635,70,2,2,0,210000,3000,appartement,0,2003.0,1,0,1,0,0,1,1,1,21
21634,99,2,2,0,145000,1465,appartement,0,2007.0,1,0,0,0,0,0,0,0,21
21633,123,4,2,0,275000,2236,appartement,0,2077.0,1,0,0,1,0,0,1,0,21
21632,64,3,1,0,104000,1625,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21631,107,3,2,0,228629,2137,appartement,0,2077.0,1,0,1,1,0,1,0,1,21
21630,76,2,2,0,169021,2224,appartement,0,2077.0,1,0,1,0,0,1,0,1,21
21629,109,3,2,0,223022,2046,appartement,0,2077.0,1,0,1,1,0,1,0,1,21
21628,108,3,2,0,220072,2038,appartement,0,2077.0,1,0,1,1,0,1,0,1,21
21627,103,3,2,0,235718,2289,appartement,0,2077.0,1,0,1,1,0,0,1,0,21
21626,103,3,2,0,245000,2379,appartement,0,2077.0,1,0,1,0,0,1,0,1,21
21625,143,3,2,0,260000,1818,appartement,0,2077.0,1,0,1,0,0,1,1,1,21
21624,99,3,2,0,235000,2374,appartement,0,2077.0,1,0,1,0,0,1,0,1,21
21623,100,3,2,0,235000,2350,appartement,0,2077.0,1,0,1,0,0,1,0,1,21
21622,176,2,2,0,265000,1506,appartement,0,2077.0,1,0,1,0,0,1,0,1,21
21621,87,2,2,0,190000,2184,appartement,0,2077.0,1,0,1,0,0,1,0,1,21
21620,106,3,2,0,256115,2416,appartement,0,2077.0,1,0,1,1,0,0,1,0,21
21619,113,3,2,0,261989,2318,appartement,0,2077.0,1,0,1,1,0,0,1,0,21
21618,115,3,2,0,273353,2377,appartement,0,2077.0,1,0,1,1,0,0,1,0,21
21617,129,3,2,0,297621,2307,appartement,0,2077.0,1,0,1,1,0,0,1,0,21
21616,115,3,2,0,279778,2433,appartement,0,2077.0,1,0,1,1,0,0,1,0,21
21615,110,2,2,0,135000,1227,appartement,1,2077.0,1,0,0,1,0,1,0,0,21
21614,90,3,2,0,195000,2167,appartement,0,1985.0,1,0,0,1,0,1,0,0,21
21613,60,2,1,0,126900,2115,appartement,1,2077.0,1,0,0,0,0,0,0,0,21
21612,54,2,1,0,136400,2526,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21611,80,3,1,0,145000,1812,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21610,73,2,1,0,127500,1747,appartement,0,1999.0,1,0,0,0,0,0,0,0,21
21609,122,3,2,0,179000,1467,appartement,0,1999.0,1,0,0,0,0,0,0,1,21
21608,98,3,2,0,266122,2716,appartement,0,2020.0,1,0,1,1,0,1,1,1,21
21607,97,3,2,0,261989,2701,appartement,0,2020.0,1,0,1,1,0,1,1,1,21
21606,111,3,2,0,297621,2681,penthouse,0,2020.0,1,0,1,1,0,1,1,1,21
21605,99,3,2,0,251569,2541,appartement,0,2020.0,1,0,1,1,0,1,1,1,21
21604,77,3,1,0,113500,1474,appartement,1,1968.0,1,0,0,0,0,0,0,0,21
21603,85,3,1,0,138000,1624,appartement,0,1966.0,1,0,0,1,0,0,0,0,21
21602,90,3,2,0,225000,2500,appartement,0,2077.0,1,0,1,0,0,1,1,1,21
21601,133,2,1,0,264000,1985,appartement,0,2003.0,1,0,1,1,1,1,1,1,21
21600,60,3,1,0,98260,1638,appartement,0,1960.0,1,0,0,0,0,0,0,0,21
21599,133,3,3,0,275000,2068,appartement,0,2004.0,1,0,1,1,0,1,0,0,21
21598,85,2,1,0,124000,1459,appartement,0,1967.0,1,0,0,0,1,0,0,0,21
21597,59,2,2,0,164513,2788,appartement,0,2077.0,1,0,1,1,0,1,1,1,21
21596,59,2,2,0,164416,2787,appartement,0,2077.0,1,0,1,1,0,1,1,1,21
21595,58,2,2,0,165435,2852,appartement,0,2077.0,1,0,1,1,0,1,1,1,21
21594,79,3,2,0,202629,2565,appartement,0,2077.0,1,0,1,1,0,1,1,1,21
21593,60,2,2,0,164242,2737,appartement,0,2077.0,1,0,1,1,0,1,1,1,21
21592,121,3,2,0,260000,2149,appartement,0,2001.0,1,0,1,1,1,1,1,1,21
21591,126,3,2,0,294900,2340,appartement,0,2077.0,1,0,1,1,0,1,1,1,21
21590,134,4,2,0,319900,2387,appartement,0,2077.0,1,0,1,1,0,1,1,1,21
21589,111,3,2,0,259900,2341,appartement,0,2077.0,1,0,1,1,0,1,1,1,21
21588,122,3,2,0,285900,2343,appartement,0,2077.0,1,0,1,1,0,1,1,1,21
21587,125,3,2,0,289900,2319,appartement,0,2077.0,1,0,1,1,0,1,1,1,21
21586,102,2,2,0,249900,2450,appartement,0,2077.0,1,0,1,1,0,1,1,1,21
21585,104,3,2,0,273352,2628,appartement,0,2020.0,1,0,1,1,0,1,1,1,21
21584,66,3,1,0,104900,1589,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21583,95,2,1,0,155000,1632,appartement,0,1965.0,1,0,0,1,1,0,0,0,21
21582,74,3,1,0,100000,1351,appartement,0,1968.0,1,0,0,0,0,0,0,0,21
21581,97,2,1,0,210000,2165,appartement,0,2003.0,1,0,1,1,0,1,0,1,21
21580,90,2,2,0,240000,2667,penthouse,0,2004.0,1,0,1,0,0,1,0,1,21
21579,130,4,2,0,257000,1977,appartement,0,2077.0,1,0,1,1,0,0,1,0,21
21578,49,2,1,0,84000,1714,appartement,0,1969.0,1,0,0,0,0,0,1,0,21
21577,151,3,2,0,314000,2079,appartement,0,2077.0,1,0,1,0,0,1,1,1,21
21576,69,3,1,0,107000,1551,appartement,0,1961.0,1,0,0,1,0,1,0,0,21
21575,170,3,2,0,325000,1912,penthouse,0,2010.0,1,0,1,1,0,1,1,1,21
21574,48,2,1,0,89000,1854,appartement,0,1971.0,1,0,0,0,0,0,0,0,21
21573,98,3,2,0,284900,2907,appartement,0,2001.0,1,0,1,0,0,1,1,1,21
21572,50,1,1,0,135000,2700,appartement,0,2008.0,1,0,1,0,0,1,0,1,21
21571,136,3,2,0,230000,1691,penthouse,0,1999.0,1,0,0,1,0,0,0,1,21
21570,80,3,1,0,163000,2038,appartement,0,2077.0,1,0,0,0,0,1,0,0,21
21569,95,3,1,0,185000,1947,appartement,0,1975.0,1,0,0,1,0,0,0,0,21
21568,56,3,1,0,80000,1429,appartement,1,1965.0,1,0,0,1,0,0,0,0,21
21567,43,1,1,0,84000,1953,appartement,0,1971.0,1,0,0,0,0,0,0,0,21
21566,72,3,1,0,119900,1665,appartement,1,2077.0,1,0,0,1,0,0,0,0,21
21565,100,4,2,0,154900,1549,appartement,0,2077.0,1,0,0,0,0,1,0,0,21
21564,70,3,1,0,119900,1713,appartement,1,2077.0,1,0,0,1,0,0,0,0,21
21563,60,2,1,0,79900,1332,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21562,60,2,1,0,79900,1332,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21561,91,3,2,0,129900,1427,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21560,74,3,1,0,99900,1350,appartement,1,2077.0,1,0,0,1,0,0,0,0,21
21559,110,3,2,0,275000,2500,appartement,0,2077.0,1,0,1,0,0,1,1,1,21
21558,83,3,1,0,91500,1102,appartement,0,1966.0,1,0,0,1,1,0,0,0,21
21556,65,2,1,0,86860,1336,appartement,1,1982.0,1,0,0,0,0,0,0,0,21
21555,58,3,1,0,105000,1810,appartement,0,1966.0,1,0,0,0,1,0,0,0,21
21554,115,3,2,0,216000,1878,appartement,0,2001.0,1,0,1,0,0,0,0,1,21
21553,82,3,1,0,120000,1463,appartement,0,1960.0,1,0,0,0,1,0,0,0,21
21552,83,3,1,0,135000,1627,appartement,0,1985.0,1,0,0,0,0,0,0,0,21
21551,90,2,1,0,212000,2356,appartement,0,2002.0,1,0,1,0,0,1,1,0,21
21550,95,2,2,0,184000,1937,appartement,0,2011.0,1,0,0,0,0,1,0,0,21
21549,89,3,1,0,160000,1798,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21548,178,4,2,0,299990,1685,appartement,0,2077.0,1,0,1,0,1,1,1,1,21
21547,59,2,1,0,117000,1983,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21546,100,4,1,0,165000,1650,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21545,68,3,1,0,95000,1397,appartement,1,2077.0,1,0,0,1,0,0,0,0,21
21544,50,2,1,0,106000,2120,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21543,114,4,2,0,229000,2009,appartement,0,1987.0,1,0,0,1,0,0,0,0,21
21542,81,3,2,0,155000,1914,appartement,0,1999.0,1,0,0,0,0,1,1,1,21
21541,91,2,2,0,228208,2508,appartement,0,2020.0,1,0,1,1,0,1,1,1,21
21540,95,3,1,0,100000,1053,appartement,1,1970.0,1,0,0,0,1,0,0,0,21
21539,80,3,1,0,140000,1750,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21538,60,2,1,0,105000,1750,appartement,0,1967.0,1,0,0,1,0,0,0,0,21
21537,80,3,1,0,165000,2062,appartement,0,1977.0,1,0,0,1,0,0,0,0,21
21536,60,2,1,0,73000,1217,appartement,0,1960.0,1,0,0,0,0,0,0,0,21
21535,50,1,1,0,159000,3180,appartement,0,2007.0,1,0,1,0,0,1,1,1,21
21534,136,3,1,0,135990,1000,appartement,0,1967.0,1,0,0,1,1,1,0,0,21
21533,96,2,2,0,210000,2188,appartement,0,2001.0,1,0,1,1,0,1,1,1,21
21532,71,2,2,0,198000,2789,appartement,0,2001.0,1,0,1,0,0,1,0,0,21
21531,74,2,1,0,139900,1891,appartement,0,1966.0,1,0,0,0,0,0,0,0,21
21530,65,2,1,0,110000,1692,appartement,0,1962.0,1,0,0,0,0,0,0,0,21
21529,93,3,1,0,160000,1720,appartement,1,1976.0,1,0,0,1,0,0,0,0,21
21528,75,3,1,0,103000,1373,appartement,0,1968.0,1,0,0,1,0,0,0,0,21
21527,63,3,1,0,100000,1587,appartement,1,2077.0,1,0,0,0,0,0,0,0,21
21526,65,3,1,0,90000,1385,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21525,115,3,1,0,154900,1347,duplex,0,1975.0,0,0,0,1,0,1,0,0,21
21524,63,2,1,0,82260,1306,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21523,72,3,1,0,139400,1936,appartement,0,1961.0,1,0,0,1,0,0,0,0,21
21522,100,2,2,0,154900,1549,appartement,0,2077.0,1,0,0,0,0,1,1,1,21
21521,90,3,2,0,155000,1722,appartement,0,1998.0,1,0,0,1,0,1,1,1,21
21520,66,3,1,0,88000,1333,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21519,102,3,2,0,225000,2206,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21518,105,2,1,0,189000,1800,appartement,0,1995.0,1,0,0,1,0,0,0,1,21
21517,95,4,1,0,138000,1453,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21516,120,3,1,0,195000,1625,appartement,0,1962.0,1,0,0,0,0,0,0,0,21
21515,90,3,2,0,222000,2467,appartement,0,2001.0,1,0,1,0,0,1,0,1,21
21514,64,3,1,0,80500,1258,appartement,1,2077.0,1,0,0,1,0,0,0,0,21
21513,80,3,1,0,182000,2275,appartement,0,1974.0,1,0,0,1,0,0,0,0,21
21512,120,3,2,0,295000,2458,appartement,0,2003.0,1,0,0,1,1,1,0,1,21
21511,82,2,2,0,270000,3293,appartement,0,2077.0,1,0,1,0,0,1,1,1,21
21510,81,3,1,0,116100,1433,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21509,103,3,2,0,250000,2427,appartement,0,2077.0,1,0,1,0,0,1,0,1,21
21508,63,3,1,0,79900,1268,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21507,70,3,1,0,99000,1414,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21506,60,3,1,0,74550,1242,appartement,1,1960.0,1,0,0,0,0,0,0,0,21
21505,45,2,1,0,105000,2333,appartement,0,1960.0,1,0,0,0,0,0,0,0,21
21504,95,3,1,0,130000,1368,appartement,0,1985.0,1,0,0,1,1,0,0,0,21
21503,70,3,1,0,120000,1714,appartement,1,2077.0,1,0,0,0,0,0,0,0,21
21502,71,3,1,0,149000,2099,appartement,0,1970.0,1,0,0,0,0,0,0,0,21
21501,70,3,1,0,135000,1929,appartement,1,1969.0,1,0,0,0,0,0,0,0,21
21500,98,4,2,0,230000,2347,appartement,0,1977.0,1,0,0,1,0,0,0,0,21
21499,55,3,1,0,91000,1655,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21498,115,4,1,0,184900,1608,appartement,0,2077.0,1,0,0,1,1,0,0,0,21
21497,78,3,1,0,127000,1628,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21496,68,3,1,0,83900,1234,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21495,120,3,1,0,180000,1500,appartement,0,2077.0,1,0,1,1,0,1,1,1,21
21494,64,3,1,0,76000,1188,appartement,1,2077.0,1,0,0,0,0,0,0,0,21
21493,92,4,1,0,163000,1772,appartement,0,2077.0,1,0,0,0,0,1,0,0,21
21492,154,3,2,0,280000,1818,appartement,0,2077.0,1,0,1,1,0,1,1,1,21
21491,105,3,2,0,180000,1714,appartement,0,2077.0,1,0,0,1,0,1,0,0,21
21490,70,2,1,0,128000,1829,appartement,0,1965.0,1,0,0,0,0,0,0,0,21
21489,93,3,1,0,166200,1787,appartement,0,1972.0,1,0,0,1,0,0,0,0,21
21488,53,3,1,0,114300,2157,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21487,86,3,1,0,129000,1500,appartement,0,1984.0,1,0,0,1,0,0,0,0,21
21486,75,3,2,0,132000,1760,appartement,0,1961.0,1,0,0,0,0,1,0,0,21
21485,85,3,1,0,135000,1588,appartement,0,1969.0,1,0,0,0,0,0,0,0,21
21484,65,2,1,0,99000,1523,appartement,0,1950.0,1,0,0,0,0,0,0,0,21
21483,53,3,1,0,114300,2157,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21482,68,3,1,0,88000,1294,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21481,75,3,1,0,110000,1467,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21480,83,2,1,0,146000,1759,appartement,0,2003.0,1,0,0,1,1,1,0,0,21
21479,95,3,1,0,112000,1179,appartement,1,2077.0,1,0,0,1,0,1,0,0,21
21478,30,1,1,0,59000,1967,appartement,0,1960.0,1,0,0,0,0,0,1,0,21
21477,53,1,1,0,146000,2755,appartement,0,2077.0,1,0,1,1,0,1,0,1,21
21476,125,3,3,0,275000,2200,penthouse,0,2004.0,1,0,1,1,0,1,1,0,21
21475,153,4,2,0,178000,1163,appartement,0,1999.0,1,0,0,0,0,1,1,1,21
21474,86,3,1,0,129000,1500,appartement,0,1984.0,1,0,0,1,0,0,0,0,21
21473,66,2,1,0,96000,1455,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21472,63,3,1,0,82000,1302,appartement,0,1960.0,1,0,0,0,0,0,0,0,21
21471,59,2,1,0,126900,2151,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21470,95,3,1,0,199000,2095,appartement,0,1966.0,1,0,1,0,0,1,1,1,21
21469,65,2,1,0,232000,3569,appartement,0,2077.0,1,0,0,0,0,1,0,1,21
21468,69,2,1,0,240000,3478,appartement,0,2077.0,1,0,1,0,0,0,0,0,21
21467,115,4,2,0,330000,2870,appartement,0,2077.0,1,0,0,0,0,1,1,0,21
21466,60,3,1,0,120000,2000,appartement,0,1960.0,0,0,0,0,0,0,0,0,21
21465,90,3,2,0,172000,1911,appartement,0,2077.0,1,0,0,0,0,1,1,1,21
21464,60,3,1,0,82260,1371,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21463,65,2,1,0,109000,1677,appartement,0,1950.0,1,0,0,0,0,0,0,0,21
21462,115,4,1,0,133000,1157,appartement,0,2077.0,1,0,0,1,0,1,1,0,21
21461,83,3,2,0,111000,1337,appartement,1,2077.0,1,0,0,0,0,0,0,0,21
21460,55,2,1,0,110000,2000,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21459,80,2,2,0,179990,2250,appartement,0,2003.0,1,0,1,0,0,1,1,1,21
21458,68,3,1,0,156000,2294,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21457,89,2,2,0,228000,2562,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21456,61,3,1,0,89000,1459,appartement,0,1960.0,1,0,0,0,0,0,0,0,21
21455,67,3,1,0,119000,1776,appartement,0,1960.0,0,0,0,0,0,0,0,0,21
21454,68,3,1,0,94000,1382,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21453,92,3,2,0,175000,1902,appartement,0,1962.0,1,0,0,1,0,0,0,0,21
21452,70,3,1,0,90000,1286,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21451,63,3,1,0,167000,2651,appartement,0,1966.0,1,0,0,0,0,0,0,0,21
21450,57,3,1,0,96000,1684,appartement,0,1965.0,1,0,0,0,0,0,0,0,21
21449,63,3,1,0,84000,1333,appartement,0,1968.0,1,0,0,0,0,0,0,0,21
21448,52,2,1,0,101000,1942,appartement,1,1960.0,1,0,0,0,0,0,0,0,21
21447,125,3,2,0,210000,1680,appartement,0,2077.0,1,0,0,0,0,1,1,1,21
21446,125,3,3,0,275000,2200,duplex,0,2004.0,1,0,1,1,0,1,0,0,21
21445,75,3,1,0,131400,1752,appartement,0,2077.0,0,0,0,0,0,0,0,0,21
21444,71,3,1,0,131400,1851,appartement,0,2077.0,0,0,0,0,0,0,0,0,21
